7770,"Nhóm vạch phân chia hai chiều xe chạy ngược chiều",""
7771,"Vạch 1.1: Vạch phân chia hai chiều xe chạy (vạch tim đường), dạng vạch đơn, đứt nét","Ý nghĩa sử dụng: dùng để phân chia hai chiều xe chạy ngược chiều nhau. Xe được phép cắt qua để sử dụng làn ngược chiều từ cả hai phía.
Quy cách: Vạch 1.1 là vạch đơn, đứt nét, màu vàng. Bề rộng nét vẽ b = 15 cm, chiều dài đoạn nét liền L1 = 1 m - 3 m; chiều dài đoạn nét đứt (2 m - 6 m); tỷ lệ L1/L2=1:2. Trong trường hợp đường hẹp, không đủ 2 làn cơ giới, nhưng có nhiều xe máy lưu thông, có thể sử dụng vạch dạng này để phân chia, khi đó bề rộng vạch rộng 10cm, tỷ lệ L1/L2=1:3 hoặc 1:2.
Tốc độ vận hành càng cao, chọn chiều dài đoạn nét liền L1 và chiều dài đoạn nét đứt L2 càng lớn. Chọn giá trị chiều dài đoạn nét liền L1 và đoạn nét đứt L2 nhỏ trong các trường hợp cần tăng tính dẫn hướng xe chạy (ví dụ trong phạm vi đường cong nằm bán kính nhỏ).
Minh họa:"
7772,"Vạch 1.2: Vạch phân chia hai chiều xe chạy (vạch tim đường), dạng vạch đơn, nét liền","Ý nghĩa sử dụng: dùng để phân chia hai chiều xe chạy ngược chiều; xe không được lấn làn, không được đè lên vạch.
Quy cách:
- Vạch 1.2 là vạch đơn, liền nét, màu vàng, bề rộng vạch 15 cm. Vạch này thường sử dụng ở đoạn đường không đảm bảo tầm nhìn vượt xe, nguy cơ tai nạn giao thông đối đầu lớn trên các đường có 2 hoặc 3 làn xe cơ giới và không có dải phân cách giữa.
- Chỉ được sử dụng vạch 1.2 để phân chia hai chiều xe chạy khi bề rộng làn đường đáp ứng được điều kiện chuyển động của các loại xe có kích thước lớn được phép tham gia giao thông trên tuyến đường đang xét.
Minh họa:"
7773,"Vạch 1.3: Vạch phân chia hai chiều xe chạy (vạch tim đường), dạng vạch đôi, nét liền","Ý nghĩa sử dụng: Dùng để phân chia hai chiều xe chạy ngược chiều, xe không được lấn làn, không được đè lên vạch.
Quy cách:
- Vạch 1.3 là vạch đôi song song, liền nét, màu vàng, bề rộng nét vẽ b = 15 cm, khoảng cách phía trong hai mép vạch đơn nhỏ nhất là 15 cm; lớn nhất là 50 cm. Nếu khoảng cách hai mép phía trong của các vạch đơn lớn hơn 50 cm thì sử dụng vạch kênh hóa dòng xe dạng gạch chéo, màu vàng (vạch 4.1).
- Vạch này thường dùng để phân chia hai chiều xe chạy ngược chiều cho đường có từ 4 làn xe cơ giới trở lên, không có dải phân cách giữa trên đoạn đường không đảm bảo tầm nhìn vượt xe, nguy cơ tai nạn giao thông đối đầu lớn hoặc ở các vị trí cần thiết khác.
- Trường hợp các đường có 2 hoặc 3 làn xe cơ giới, không có dải phân cách giữa có thể sử dụng vạch 1.3 ở các vị trí cần thiết để nhấn mạnh mức độ nguy hiểm, không được lấn làn, không được đè lên vạch. Tác dụng của vạch 1.3 trong trường hợp này tương tự vạch 1.2."
7774,"Vạch 1.4: Vạch phân chia hai chiều xe chạy, dạng vạch đôi gồm một vạch nét liền, một vạch nét đứt","Ý nghĩa sử dụng: dùng để phân chia hai chiều xe chạy ngược chiều. Xe trên làn đường tiếp giáp với vạch đứt nét được phép cắt qua và sử dụng làn ngược chiều khi cần thiết; xe trên làn đường tiếp giáp với vạch liền nét không được lấn làn hoặc đè lên vạch.
Quy cách:
- Vạch 1.4 là vạch đôi song song, một vạch liền nét, một vạch đứt nét. Bề rộng nét vẽ của các vạch b = 15 cm; khoảng cách phía trong hai mép vạch đơn là 15 cm - 20 cm. Đối với vạch đứt nét, chiều dài đoạn nét liền L1 = (1 m - 3 m); chiều dài đoạn nét đứt L2 = (2 m - 6 m); tỷ lệ L1/L2 = 1:2.
Tốc độ vận hành càng cao, chọn chiều dài đoạn nét liền L1 và chiều dài đoạn nét đứt L2 càng lớn. Chọn giá trị chiều dài đoạn nét liền L1 và đoạn nét đứt L2 nhỏ trong các trường hợp cần tăng tính dẫn hướng xe chạy (ví dụ trong phạm vi đường cong nằm bán kính nhỏ).
- Vạch này được sử dụng trên đường có từ 2 làn xe trở lên, không có dải phân giữa, ở các đoạn cần thiết phải cấm xe sử dụng làn ngược chiều theo một hướng xe chạy nhất định để đảm bảo an toàn.
Trường hợp chỉ có một làn xe bên phía tiếp giáp với vạch liền nét, bề rộng của làn đường này phải đáp ứng được điều kiện chuyển động của các loại xe có kích thước lớn được phép tham gia giao thông trên tuyến đường đang xét.
Minh họa:"
7775,"Vạch 1.5: Vạch xác định ranh giới làn đường có thể thay đổi hướng xe chạy","Ý nghĩa sử dụng: dùng để xác định ranh giới làn đường có thể thay đổi hướng xe chạy trên đó theo thời gian. Hướng xe chạy ở một thời điểm trên làn đường có thể đổi chiều được quy định bởi người điều khiển giao thông, tín hiệu đèn, biển báo hoặc các báo hiệu khác phù hợp.
Quy cách: Vạch 1.5 là vạch đôi, đứt nét, màu vàng, bề rộng nét vẽ b = 15 cm; khoảng cách phía trong hai mép vạch đơn là 15 cm - 20 cm; khoảng cách nét liền L1 = (1 m - 2 m), khoảng cách nét đứt L2 = ( 3m - 6m), tỷ lệ L1:L2 = 1:3.
Tốc độ vận hành càng cao, chọn chiều dài đoạn nét liền L1 và chiều dài đoạn nét đứt L2 càng lớn. Chọn giá trị chiều dài đoạn nét liền L1 và đoạn nét đứt L2 nhỏ trong các trường hợp cần tăng tính dẫn hướng xe chạy (ví dụ trong phạm vi đường cong nằm bán kính nhỏ)."
7776,"Sử dụng vạch phân chia hai chiều xe chạy trong đường cong nằm hoặc đường cong đứng không đảm bảo tầm nhìn vượt xe an toàn","Để kẻ vạch tim đường cho các đoạn đường trong phạm vi đường cong nằm hoặc đường cong đứng có yêu cầu cấm vượt xe cần phải xác định được các vùng cấm vượt theo từng hướng xe chạy. Vùng cấm vượt theo một hướng xe chạy là vùng có chiều dài tầm nhìn thực tế nhỏ hơn chiều dài tầm nhìn vượt xe an toàn tối thiểu. Tùy theo yêu cầu cấm vượt mà bố trí loại vạch sơn dùng để phân cách hai chiều xe chạy cho phù hợp. Sử dụng vạch 1.3 cho vùng cấm vượt ở cả hai phía; sử dụng vạch 1.4 cho vùng cấm vượt ở một phía (lưu ý nét sơn liền trong vạch 1.4 được vẽ về phía có yêu cầu cấm vượt) và sử dụng vạch 1.1 cho vùng không có yêu cầu cấm vượt ở cả hai phía (xem minh họa về các loại vạch trên Hình G.6 và Hình G.7).
Chỉ dẫn xác định vùng cấm vượt:
+ Điểm bắt đầu vùng cấm vượt (điểm a và a’ trên Hình G.6 và Hình G.7) là điểm mà tầm nhìn thực tế đối với xe đi vào đường cong bắt đầu nhỏ hơn chiều dài tầm nhìn vượt xe tối thiểu tương ứng với tốc độ xe chạy tốc độ hạn chế lớn nhất hoặc tốc độ V85. Tốc độ V85 là giá trị tốc độ mà 85% số xe trong dòng xe có tốc độ nhỏ hơn hoặc bằng giá trị này. Chiều dài tầm nhìn vượt xe tối thiểu được lấy theo Bảng G.1 dưới đây.
+ Điểm kết thúc vùng cấm vượt (điểm b và b’ trên Hình G.6 và Hình G.7) là điểm mà tầm nhìn thực tế bắt đầu lớn hơn chiều dài tầm nhìn vượt xe tối thiểu tương ứng tốc độ xe chạy V85 hoặc tốc độ thiết kế (sau khi xe đã đi qua đoạn không đảm bảo tầm nhìn vượt xe).
Quy định về chiều dài các đoạn kẻ vạch:
+ Khi chiều dài vùng cấm vượt (chiều dài đoạn vạch liền nét xen kẽ các đoạn vạch đứt nét) theo một chiều xe chạy nhỏ hơn 30 m, cần mở rộng vùng cấm vượt đảm bảo chiều dài nhỏ nhất 30 m.
+ Chiều dài vùng cho phép vượt nằm xen kẽ các vùng cấm vượt trên một hướng xe chạy không được nhỏ hơn 100 m.
Chỉ sử dụng vạch có chức năng cấm vượt xe khi bề rộng làn xe trên hướng cấm vượt xe trong phạm vi đường cong đủ để đảm bảo điều kiện chuyển động của các loại xe có kích thước lớn được phép tham gia giao thông trên tuyến đường đang xét."
7777,"Sử dụng vạch phân chia hai chiều xe chạy cho đường có 3 làn xe trong khu vực số làn đường trên một hướng thay đổi từ một làn sang hai làn và ngược lại","Hình G.8 và Hình G.9 minh họa việc sử dụng vạch sơn phân chia hai chiều xe chạy cho đường có 3 làn xe trong khu vực số làn đường trên một hướng thay đổi từ một làn sang hai làn và ngược lại:
Lưu ý:
+ Các vạch gạch chéo được vẽ song song mỗi vạch rộng 45 cm, khoảng cách hai mép vạch 100 cm, vạch nghiêng một góc 135o theo chiều ngược chiều kim đồng hồ so với hướng chuyển động của xe (vạch 4.1).
+ Vạch xác định phạm vi kẻ vạch gạch chéo song song là vạch đơn liền nét (xem trên Hình G.8 và Hình G.9). Vạch này có bề rộng bằng bề rộng nét vẽ của các vạch đơn cấu tạo nên vạch 1.3 được sử dụng tương ứng trong Hình G.8 và Hình G.9.
Minh họa:"
7778,"Nhóm vạch phân chia các làn xe chạy cùng chiều",""
7779,"Vạch 2.1: Vạch phân chia các làn xe cùng chiều, dạng vạch đơn, đứt nét","Ý nghĩa sử dụng: dùng để phân chia các làn xe cùng chiều. Trong trường hợp này, xe được phép thực hiện việc chuyển làn đường qua vạch 2.1.
Quy cách: Vạch 2.1 là vạch đơn, đứt nét, màu trắng. Bề rộng nét vẽ b = 15cm, chiều dài đoạn nét liền L1 = (1 m - 3 m); chiều dài đoạn nét đứt (3 m - 9 m); tỷ lệ L1/L2 = 1:3.
Tốc độ vận hành càng cao, chọn chiều dài đoạn nét liền L1 và chiều dài đoạn nét đứt L2 càng lớn. Chọn giá trị chiều dài đoạn nét liền L1 và đoạn nét đứt L2 nhỏ trong các trường hợp cần tăng tính dẫn hướng xe chạy (ví dụ trong phạm vi đường cong nằm bán kính nhỏ).
Minh họa:"
7780,"Vạch 2.2: Vạch phân chia các làn xe cùng chiều, dạng vạch đơn, liền nét.","Ý nghĩa sử dụng: dùng để phân chia các làn xe cùng chiều trong trường hợp không cho phép xe chuyển làn hoặc sử dụng làn khác; xe không được lấn làn, không được đè lên vạch.
Quy cách: Vạch 2.2 là vạch đơn, liền nét, màu trắng, bề rộng vạch 15 cm.
Minh họa:"
7781,"Vạch 2.3: Vạch giới hạn làn đường dành riêng hoặc làn đường ưu tiên","Ý nghĩa sử dụng: Vạch giới hạn làn đường dành riêng cho một loại xe cơ giới nhất định (vạch liền nét), các loại xe khác không được đi vào làn xe này trừ những trường hợp khẩn cấp theo Luật Giao thông đường bộ.
Vạch giới hạn làn đường ưu tiên cho một loại xe cơ giới nhất định (vạch đứt nét), các xe khác có thể sử dụng làn đường này nhưng phải nhường đường cho xe được ưu tiên sử dụng làn khi xuất hiện loại xe này trên làn xe.
Xe trên làn đường dành riêng hoặc làn đường ưu tiên có thể cắt qua các vạch này khi làn đường hoặc phần đường xe chạy liền kề không cấm sử dụng loại xe này.
Quy cách:
- Vạch giới hạn đường dành riêng hoặc ưu tiên được cấu tạo bằng vạch đơn, màu trắng, bề rộng vạch 30 cm. Vạch 2.3 có thể là vạch đứt nét hoặc vạch liền nét. Đối với vạch nét đứt, bề rộng nét liền L1 = (1 m - 2m), bề rộng nét đứt L2 = (1 m - 2 m), tỷ lệ L1/L2 = 1:1.
- Vạch 2.3 dạng nét đứt cũng được dùng để xác định phạm vi làn đường dành riêng hoặc ưu tiên ở vị trí đầu hoặc cuối làn đường như minh họa trên Hình G.12.
- Vạch giới hạn làn đường dành riêng hoặc ưu tiên được sử dụng đi kèm với chữ viết biểu thị loại xe được dành riêng hoặc ưu tiên hoặc có thể đi kèm với ký hiệu chỉ loại xe được phép sử dụng làn đường.
- Vạch giới hạn làn đường dành riêng hoặc ưu tiên được kẻ từ chỗ bắt đầu bố trí làn đường dành riêng hoặc ưu tiên, cứ qua một nút giao phải viết lại chữ một lần. Nếu khoảng cách giữa các ngã tư dài hơn 500 m thì có thể viết chữ nhắc lại ở quãng giữa đoạn đường.
Minh họa:"
7782,"Vạch 2.4: Vạch phân chia các làn xe cùng chiều, dạng vạch kép (một vạch liền, một vạch đứt nét).","Ý nghĩa sử dụng: dùng để phân chia các làn xe cùng chiều, xe trên làn đường tiếp giáp với vạch đứt nét được phép cắt qua khi cần thiết; xe trên làn đường tiếp giáp với vạch liền nét không được lấn làn hoặc đè lên vạch.
Quy cách: Gồm Vạch 2.1 kết hợp với Vạch 2.2.
Minh họa:"
7783,"Nhóm vạch giới hạn mép phần đường xe chạy",""
7784,"Vạch 3.1: Vạch giới hạn mép ngoài phần đường xe chạy hoặc vạch phân cách làn xe cơ giới và làn xe thô sơ","Ý nghĩa sử dụng: để xác định mép ngoài phần đường xe chạy; hoặc phân cách làn xe cơ giới và xe thô sơ, xe chạy được phép đè lên vạch khi cần thiết và phải nhường đường cho xe thô sơ.
Qui cách:
- Khi sử dụng vạch 3.1 (a, b) để xác định mép ngoài phần xe chạy (phần lề gia cố có kết cấu tương đương với kết cấu mặt đường được coi là phần xe chạy) thì mép ngoài cùng của vạch cách mép ngoài cùng phần xe chạy từ 15 đến 30 cm đối với đường thông thường và phân chia làn dừng khẩn cấp với phần đường xe chạy đối với đường ô tô cao tốc. Chỉ kẻ vạch giới hạn mép phần đường xe chạy trên đường cao tốc, đường có bề rộng phần đường xe chạy từ 7,0 m trở lên và các trường hợp cần thiết khác.
- Khi sử dụng vạch 3.1 (a, b) để phân chia giữa làn đường xe cơ giới và làn đường xe thô sơ, phải sử dụng biển báo hoặc sơn chữ “XE ĐẠP”, hoặc biểu tượng xe đạp trên làn xe thô sơ.
- Chỉ bố trí làn đường dành riêng cho xe thô sơ khi mật độ xe thô sơ lớn trên đường có mỗi chiều xe chạy từ 2 làn xe cơ giới trở lên hoặc trong trường hợp cần thiết khác và bề rộng phần đường dành cho xe thô sơ phải đảm bảo tối thiểu 1,5 m. Khi không bố trí làn xe thô sơ riêng thì có thể bố trí vạch phân chia các làn xe cùng chiều 2.1 hoặc 2.1 kết hợp 2.2.
Quy cách vạch như sau: Vạch 3.1a là vạch đơn, liền nét, bề rộng vạch b = 15 cm - 20 cm. Vạch 3.1b là vạch đơn, nét đứt, bề rộng vạch b = (15 cm - 20 cm); khoảng cách nét liền L1 = 0,6 m; khoảng cách nét đứt L2 = 0,6 m. Tỷ lệ L1/L2 = 1:1.
Minh họa:"
7785,"Một số loại vạch khác có thể sử dụng để xác định mép phần xe chạy","- Vạch 3.2, vạch 3.3: sử dụng để phân cách giữa làn xe cơ bản và làn xe chuyển tốc, giữa làn xe cơ bản và làn xe phụ thêm hoặc vạch phân cách, kênh hóa các làn xe trong khu vực tách và nhập làn.
Vạch 3.2: Vạch liền nét, màu trắng, bề rộng vạch là 45 cm cho đường ô tô cao tốc và 30 cm cho các đường khác. Xe không được phép chuyển làn qua vạch 3.2 trừ các trường hợp khẩn cấp theo quy định tại Luật giao thông đường bộ.
Vạch 3.3: Vạch đứt nét, màu trắng, bề rộng vạch là 45 cm cho đường ô tô cao tốc và 30 cm cho các đường khác, khoảng cách nét đứt L1 = (100 cm - 300 cm); khoảng cách nét đứt L2 = (100 cm - 300 cm); L1:L2 = 1:1. Xe được phép cắt, chuyển làn qua vạch. Ngoài ra, vạch 3.3 còn được sử dụng để kẻ đoạn chuyển tiếp từ vạch 2.1 sang vạch 3.2. Chiều dài đoạn chuyển tiếp từ vạch 2.1 sang vạch 3.2 trong khoảng từ 50 m đến 100 m.
- Vạch 3.4: sử dụng để báo hiệu sắp đến đến vạch 1.2 hoặc vạch 2.2; hoặc sử dụng để kẻ vạch chuyển tiếp từ vạch 1.1 đến vạch 1.2; hoặc từ vạch 2.1 đến vạch 2.2. Bề rộng vạch 3.4 được lấy tương ứng theo bề rộng của vạch 1.2 hoặc vạch 2.2.
Vạch 3.4: Vạch đứt nét, màu trắng, khoảng cách nét liền L1 = (3 m - 6 m), khoảng cách nét đứt L2 = 1 m - 2 m, tỷ lệ L1:L2 = 3:1. Chiều dài vạch 3.4 lấy trong khoảng từ 50 m đến 100 m."
7786,"Bố trí vạch phân làn đường trong khu vực tách và nhập làn","Nguyên tắc chung sử dụng các loại vạch như sau:
- Tại các mũi đảo tách làn hoặc nhập làn có thể bố trí vạch sơn chữ V trên phần diện tích mặt đường giới hạn bởi các đường mép kéo dài từ các cạnh của đảo.
- Các vạch chữ V (vạch 4.2) được vẽ song song mỗi vạch rộng 45 cm, khoảng cách hai mép vạch rộng 100 cm, vạch chữ V được đặt sao cho cạnh chữ V xuôi chiều với hướng chuyển động của xe và hợp với hướng xe chạy một góc 45o.
- Vạch xác định phạm vi kẻ vạch chữ V là vạch liền nét, màu trắng, bề rộng vạch 20 cm (vạch 3.1).
- Vạch phân cách giữa làn xe cơ bản và làn xe chuyển tốc; hoặc vạch phân cách, kênh hóa các làn xe trong khu vực tách và nhập làn tùy từng trường hợp mà có thể sử dụng vạch liền nét, màu trắng, bề rộng vạch 45 cm (vạch 3.2); hoặc sử dụng vạch đứt nét, màu trắng, bề rộng vạch 45 cm, khoảng cách nét đứt L1 = 300 cm; khoảng cách nét đứt L2 = 300 cm (vạch 3.3).
- Xe không được phép cắt qua vạch chữ V trừ các trường hợp khẩn cấp theo quy định tại Luật Giao thông đường bộ.
Dưới đây là một số trường hợp điển hình bố trí vạch phân làn đường trong khu vực tách và nhập làn:
- Bố trí vạch sơn khu vực tách làn kiểu trực tiếp:
- Bố trí vạch sơn khu vực tách làn kiểu có làn chuyển tiếp song song:
- Bố trí vạch sơn khu vực nhập làn kiểu trực tiếp:
- Bố trí vạch sơn khu vực nhập làn kiểu có làn chuyển tiếp song song:"
7787,"Bố trí vạch phân làn đường ở điểm dừng xe trên tuyến kiểu bến cảng (có vịnh dừng đỗ)","Sử dụng vạch 3.2 hoặc vạch 3.3 để phân cách giữa làn xe chạy chính và làn dừng xe. Tùy theo bề rộng mặt đường mà có thể sử dụng vạch 5.1 để tạo đảo phân làn đường. Chi tiết xem trên Hình G.18 và Hình G.19."
7788,"Bố trí vạch sơn trong khu vực bề rộng phần xe chạy bị thay đổi","Trong khu vực bề rộng phần xe chạy bị thay đổi hoặc số làn xe chạy tăng lên hoặc ít đi, cần thiết phải bố trí các vạch sơn trên mặt đường (có thể kết hợp với biển báo) để cảnh báo người tham gia giao thông điều khiển xe thận trọng hơn.
Dưới đây là các hình vẽ thể hiện quy định về bố trí vạch sơn trong khu vực phần xe chạy bị thay đổi.
Lưu ý:
- Các quy định về bố trí vạch sơn đề cập ở mục này chỉ áp dụng cho khu vực phần xe chạy bị thay đổi. Khu vực bề rộng phần xe chạy bị thay đổi được xác định là phạm vi chiều dài tổng cộng các đoạn D, L, và d tương ứng trên các Hình G.20, G.21, G.22, và G.23.
- Trong khu vực bề rộng phần xe chạy bị thay đổi, vạch 1.3 được sử dụng để phân chia hai chiều xe chạy. Đối với hướng xe chạy có bề rộng mặt đường bị thu hẹp trong khu vực phần xe chạy bị thay đổi phải bố trí vạch giới hạn mép phần xe chạy (vạch 3.1) kết hợp với đặt biển số W.203 (b,c) “Đường bị thu hẹp”.
- Chiều dài đoạn biến đổi bề rộng mặt đường L(m) được xác định như sau:
L= (VxVxW):155 (khi V ≤ 60 km/h)     (1)
hoặc L = 0.625xVxW (khi V > 60 km/h)     (2)
Trong đó; V: Tốc độ hạn chế lớn nhất hoặc tốc độ V85, km/h; W: Chiều rộng giảm đi, m; D: chiều dài tầm nhìn dừng xe an toàn, m.
- Đoạn kéo dài của vạch ở điểm cuối cùng giảm chiều rộng (d) được lựa chọn như sau: Đường có tốc độ hạn chế lớn nhất hoặc tốc độ V85 > 60 km/h là 40 m, các loại đường khác là 20 m."
7789,"Bố trí vạch báo gần đến chướng ngại vật","Khi có chướng ngại vật trên đường, cần thiết phải bố trí các vạch sơn trên mặt đường (có thể kết hợp với biển báo) để cảnh báo người tham gia giao thông điều khiển xe thận trọng hơn, vòng tránh chướng ngại vật trên mặt đường.
- Trường hợp đường có hai làn xe, hai chiều xe chạy, khi chướng ngại vật nằm ở giữa đường thì có thể kẻ vạch theo Hình G.24.
Lưu ý: trị số d và L xác định tương tự như ở G1.3e: bố trí vạch sơn trong khu vực phần xe chạy bị thay đổi.
Vạch tim đường (vạch phân cách hai chiều xe chạy) có thể là vạch 1.1 hoặc vạch 1.2.
Bề rộng và màu sắc vạch liền nét trên Hình G.20 lấy giống với bề rộng vạch tim đường (vạch phân cách hai chiều xe chạy).
- Trường hợp đường có từ 4 làn xe chạy trở lên, khi chướng ngại vật nằm ở giữa đường thì có thể kẻ vạch theo Hình G.25.
Lưu ý: Trị số d và L xác định tương tự như quy định tại điểm e, mục G.1.3: bố trí vạch sơn trong khu vực phần xe chạy bị thay đổi.
Trong phạm vi chiều dài đoạn d và L, sử dụng vạch đôi, liền nét có quy cách, màu sắc giống với vạch 1.3. Ngoài phạm vi này, sử dụng vạch tim đường (vạch phân cách hai chiều xe chạy) áp dụng thích hợp cho đường có từ 4 làn xe trở lên.
- Trường hợp chướng ngại vật trên đường nằm ở giữa hai làn đường cùng chiều thì có thể kẻ vạch theo Hình G.26.
Lưu ý: trị số d và L xác định tương tự như mục: Bố trí vạch sơn trong khu vực bề rộng phần xe chạy bị thay đổi.
Trong phạm vi chiều dài đoạn d, sử dụng vạch đơn, liền nét, màu trắng có bề rộng bằng vạch phân cách hai chiều xe chạy (vạch 2.1) tương ứng. Trong phạm vi chiều dài đoạn L, sử dụng vạch chữ V (vạch 4.2). Vạch xác định phạm vi vạch chữ V là vạch đơn, liền nét, màu trắng có bề rộng bằng vạch phân hai chiều xe chạy (vạch 2.1) được sử dụng."
7790,"Nhóm vạch kênh hóa dòng xe",""
7791,"Vạch 4.1: Vạch kênh hóa dòng xe dạng gạch chéo","Ý nghĩa sử dụng: Vạch kênh hóa dòng xe dạng gạch chéo được sử dụng để giới hạn các phần mặt đường không sử dụng cho xe chạy mà sử dụng để kênh hóa các dòng giao thông giao thông trên đường. Khi vạch 4.1 được sử dụng, các phương tiện giao thông phải đi theo tuyến đường quy định, không được lấn vạch hoặc cắt qua vạch trừ những trường hợp khẩn cấp theo quy định tại Luật Giao thông đường bộ.
Quy cách vạch như sau:
Vạch 4.1 bao gồm các vạch liền nét, màu trắng được vẽ song song, mỗi vạch rộng 45 cm, khoảng cách hai mép vạch 100 cm, vạch nghiêng một góc 135o theo chiều ngược chiều kim đồng hồ so với hướng chuyển động của xe. Vạch xác định phạm vi kẻ vạch kênh hóa dòng xe dạng gạch chéo là vạch đơn liền nét, màu trắng. Vạch này có bề rộng nét vẽ b = 20 cm. Hình G.27 minh họa cách vẽ vạch kênh hóa dòng xe dạng gạch chéo."
7792,"Vạch 4.2: vạch kênh hóa dòng xe dạng chữ V","Ý nghĩa sử dụng: Vạch kênh hóa dòng xe dạng chữ V được sử dụng để giới hạn các phần mặt đường không sử dụng cho xe chạy mà sử dụng để kênh hóa các dòng giao thông giao thông trên đường. Khi vạch 4.2 được sử dụng, các phương tiện giao thông phải đi theo tuyến đường quy định, không được lấn vạch hoặc cắt qua vạch trừ những trường hợp khẩn cấp theo quy định tại Luật Giao thông đường bộ.
Quy cách vạch như sau:
Vạch 4.2 bao gồm các vạch liền nét, màu trắng được vẽ song song, mỗi vạch rộng 45 cm, khoảng cách hai mép vạch 100 cm, vạch nghiêng một góc 135o theo chiều ngược chiều kim đồng hồ so với hướng chuyển động của xe. Vạch xác định phạm vi kẻ vạch kênh hóa dòng xe dạng chữ V là vạch đơn liền nét, màu trắng. Vạch này có bề rộng nét vẽ b = 20 cm. Hình G.28 minh họa cách vẽ vạch kênh hóa dòng xe dạng chữ V."
7793,"Sử dụng vạch 4.1 và 4.2 để kênh hóa các dòng xe","- Sử dụng vạch 4.1 và 4.2 để dẫn hướng xe ở trạm thu phí:
Tùy theo trường hợp mà có thể sử dụng vạch 4.1 hoặc 4.2 kết hợp với vạch đơn, liền nét màu trắng, bề rộng vạch 20 cm để dẫn hướng xe đến cửa thu phí của cổng trạm thu phí. Chi tiết bố trí xem trên Hình G.29.
- Sử dụng vạch 4.1 và 4.2 để kênh hóa các dòng xe ở nút giao cùng mức:
Dưới đây là một số trường hợp sử dụng vạch 4.1 và 4.2 để kênh hóa các dòng xe các dòng xe trong phạm vi các nút giao cùng mức."
